group	device	cpu %	disk %
auto-tuned	NVMe SSD	109.72822580645163	398.3547764509858
auto-tuned	PM	126.19135150166855	435.3635059705638
auto-tuned	SATA HDD	49.09994444444443	92.16530472579302
auto-tuned	SATA SSD	84.26243047830926	247.7657160048135
FEAT	NVMe SSD	165.908511821975	572.0494029436268
FEAT	PM	450.7857142857143	1252.3163839533593
FEAT	SATA HDD	63.72131739855475	127.47139170251145
FEAT	SATA SSD	120.33121001390822	347.46166913534535
SILK-P	NVMe SSD	131.23270352875798	618.9836681465039
SILK-P	PM	201.57057190449754	881.3066269236102
SILK-P	SATA HDD	27.2363812690496	102.02423565121413
SILK-P	SATA SSD	74.35576816417081	313.58455695034155
SILK-O	NVMe SSD	170.23151838338484	666.3117370892019
SILK-O	PM	344.19880489160647	1196.46000555093
SILK-O	SATA HDD	36.920336644591615	140.47414320852693
SILK-O	SATA SSD	107.36716541978387	395.5685285990605
