group	device	qps	stall secs	p99	p99.99	MT	L0	PB
auto-tuned	NVMe SSD	46454	2687.979	986.6	2299.9	1935	2778	1693
auto-tuned	PM	50234	2635.62	964.22	2091.15	1688	2798	1969
auto-tuned	SATA HDD	14596	3078.683	1211.29	2872.36	697	1258	0
auto-tuned	SATA SSD	31336	2874.754	1088.82	2653.84	1500	2518	448
FEAT	NVMe SSD	119797	1625.406	19.76	1292.84	46	36	553
FEAT	PM	211852	279.685	9.67	1178.97	0	44	130
FEAT	SATA HDD	33542	2802.006	962.93	2526.56	220	66	127
FEAT	SATA SSD	76443	2238.856	25.5	1296.27	413	34	417
SILK-P	NVMe SSD	54153	2544.649	18.18	1196.34	2143	0	207
SILK-P	PM	68380	2302.501	9.58	1054.62	2517	0	10
SILK-P	SATA HDD	11047	3405.605	9.62	24.96	575	0	0
SILK-P	SATA SSD	30158	3067.988	9.68	27.29	1558	0	0
SILK-O	NVMe SSD	81413	1601.237	11.62	28.9	609	0	0
SILK-O	PM	126860	510.33299999999997	11.53	29.72	342	0	0
SILK-O	SATA HDD	21853	3123.286	9.4	29.31	265	0	0
SILK-O	SATA SSD	52166	2425.274	11.03	1038.11	591	0	3
