device	qps avg	stall secs avg	p99 avg	p99.99 avg	qps std	stall secs std	p99 std	p99.99 std	group
NVMe SSD	65629.0	2563.26	21.52	1289.78	31921.63	441.44	9.64	9.26	FEA
PM	104058.5	2146.14	13.69	1270.11	45365.85	545.05	5.73	31.45	FEA
SATA HDD	25970.0	3167.45	21.62	1291.48	8906.72	139.99	0.4	1.67	FEA
SATA SSD	41894.67	2864.01	335.09	1294.34	13735.02	171.04	534.48	4.22	FEA
NVMe SSD	130542.33	1656.73	10.18	1233.98	22273.22	310.77	0.67	13.99	FEAT
PM	217914.0	418.96	9.36	1112.5	24542.26	376.98	0.08	185.26	FEAT
SATA HDD	27418.0	3023.45	31.0	1294.11	246.07	11.9	1.12	0.06	FEAT
SATA SSD	66423.5	2580.55	17.82	1286.96	2943.69	25.25	0.88	1.0	FEAT
NVMe SSD	86788.67	1459.94	11.66	29.06	4696.24	123.41	0.07	0.17	SILK
PM	126807.33	526.04	11.48	29.68	104.48	13.91	0.04	0.04	SILK
SATA HDD	19334.0	3205.29	9.36	26.38	2915.7	107.85	0.1	2.54	SILK
SATA SSD	52918.33	2423.13	10.86	732.82	882.68	14.27	0.29	612.4	SILK
NVMe SSD	62859.0	2647.8	12.37	1106.41	5182.3	140.18	4.55	160.35	TEA
PM	128803.33	1922.73	10.53	571.56	32482.3	355.84	3.57	621.29	TEA
SATA HDD	14651.67	3249.65	24.8	1292.76	541.55	147.2	6.69	3.11	TEA
SATA SSD	32426.33	3112.3	11.45	1183.12	3343.44	127.67	2.78	86.8	TEA
NVMe SSD	41713.0	2801.4	32.88	1297.08	1279.86	11.98	1.3	0.16	default
PM	69641.0	2574.67	18.8	1294.49	14.14	4.28	0.06	0.11	default
SATA HDD	16369.5	3219.64	1060.97	1298.88	259.51	5.77	25.14	0.31	default
SATA SSD	29350.33	3035.45	950.85	1297.7	727.55	17.73	5.93	0.03	default
NVMe SSD	115869.67	2237.07	11.12	1245.67	6539.1	322.28	0.78	8.64	tuned
PM	206730.0	513.81	9.59	1145.39	1030.85	35.35	0.03	20.43	tuned
SATA HDD	26666.67	3072.26	37.42	1294.63	1809.1	35.3	6.62	1.2	tuned
SATA SSD	63291.0	2530.16	20.76	1288.7	1604.14	16.86	0.41	0.67	tuned
