device	para_value	cpu_utils	actions	disk_utils	stall_duration	qps
NVMe SSD	1	339.31	38	1336.95	111.0	209012
PM	1	443.52	25	1447.55	74.14	218567
SATA HDD	1	58.46	43	117.32	511.15	31664
SATA SSD	1	200.71	79	406.81	383.15	88516
NVMe SSD	12	217.88	5	701.61	279.22	152803
PM	12	277.73	7	769.92	248.28	168176
SATA HDD	12	41.22	13	85.14	618.03	21062
SATA SSD	12	147.59	11	335.96	443.19	80794
NVMe SSD	16	196.07	6	673.54	326.56	132397
PM	16	272.02	6	736.52	280.32	155059
SATA HDD	16	62.87	13	132.64	526.62	31388
SATA SSD	16	126.07	11	308.65	455.69	64465
NVMe SSD	2	262.62	46	982.63	231.47	163296
PM	2	326.2	22	1067.22	198.35	178597
SATA HDD	2	56.7	33	115.28	528.01	32493
SATA SSD	2	185.93	54	380.06	403.02	82164
NVMe SSD	4	219.45	20	775.94	267.57	151149
PM	4	276.48	12	778.43	226.31	171803
SATA HDD	4	52.59	26	108.47	518.0	31864
SATA SSD	4	163.79	35	363.62	422.83	77323
NVMe SSD	8	211.25	9	705.77	278.06	145847
PM	8	261.6	5	739.89	294.48	147449
SATA HDD	8	47.92	13	98.44	543.37	25775
SATA SSD	8	157.04	16	358.28	426.4	78547
