device "thread number" "L0 Stall" "PendingBytes Stall" MemtableStall throughput Duration
NVMeSSD 2 2389 2764 32 48990 2696.32
NVMeSSD 4 2707 6138 2292 82772 1984.37
NVMeSSD 6 1559 4125 4513 82180 2047.45
NVMeSSD 8 1832 2894 4771 74844 2180.07
NVMeSSD 10 1940 1292 5344 70760 2317.44
NVMeSSD 12 1527 906 5346 67975 2386.59
NVMeSSD 14 1390 391 5563 66730 2457.43
NVMeSSD 16 1384 324 5473 64771 2517.47
NVMeSSD 18 1218 234 5328 64088 2474.6
NVMeSSD 20 1132 197 5107 63565 2408.86
PM 2 2320 3610 1 58700 2571.65
PM 4 4910 5207 0 126313 1417.03
PM 6 3322 479 46 180896 331.38
PM 8 2234 60 1 180168 280.11
PM 10 2066 21 28 181505 307.49
PM 12 1912 0 38 181794 279.64
PM 14 2050 7 324 183449 330.5
PM 16 1998 30 732 182624 403.16
PM 18 2062 39 1309 178269 461.96
PM 20 1964 47 1495 175002 503.24
SATAHDD 2 1893 5 841 17391 3092.75
SATAHDD 4 1103 336 1429 18973 3034.91
SATAHDD 6 412 384 2082 21195 3103.18
SATAHDD 8 748 204 1540 18995 3010.12
SATAHDD 10 542 52 1833 20444 3078.5
SATAHDD 12 544 53 1613 18512 3012.45
SATAHDD 14 476 40 1511 17264 3091.82
SATAHDD 16 478 87 1990 20389 3076.43
SATAHDD 18 342 73 1403 17031 3135.2
SATAHDD 20 420 62 1931 20381 3080.77
SATASSD 2 2565 991 1350 31368 2921.07
SATASSD 4 1531 2463 2124 41609 2594.1
SATASSD 6 614 1117 2676 39311 2800.57
SATASSD 8 1000 798 2626 36577 2780.8
SATASSD 10 873 408 2735 35111 2840.95
SATASSD 12 1038 245 2672 33925 2754.53
SATASSD 14 1144 138 2604 32991 2876.3
SATASSD 16 724 150 2612 33022 2882.41
SATASSD 18 712 121 2620 32430 2865.34
SATASSD 20 812 103 2562 31622 2862.54
