group	device	threads	batch size	avg bandwidth	peak bandwidth	stall duration
SILK	NVMe SSD	8	512MB	739.59	1666.73	1455.705
SILK	NVMe SSD	8	64MB	953.37	1805.33	2565.733
SILK	PM	8	512MB			548.07
SILK	PM	8	64MB			1935.528
SILK	SATA HDD	8	512MB	138.8	223.56	3122.025
SILK	SATA HDD	8	64MB	125.34	198.16	3402.536
SILK	SATA SSD	8	512MB	388.51	511.5	2453.363
SILK	SATA SSD	8	64MB	364.56	501.77	3094.864
RocksDB	NVMe SSD	8	512MB	755.31	1723.12	1617.534
RocksDB	NVMe SSD	8	64MB	642.74	1253.58	2180.073
RocksDB	PM	8	512MB			417.044
RocksDB	PM	8	64MB	1733.78	3055.85	280.106
RocksDB	SATA HDD	8	512MB	132.72	219.16	2986.173
RocksDB	SATA HDD	8	64MB	111.34	203.59	3010.124
RocksDB	SATA SSD	8	512MB	284.97	508.64	2626.078
RocksDB	SATA SSD	8	64MB	268.41	511.0	2780.805
