device cpu "batch size" avg max
NVMeSSD 10 64MB 596.36 1294.83
NVMeSSD 12 64MB 565.89 1310.46
NVMeSSD 14 64MB 547.36 1169.12
NVMeSSD 16 64MB 530.58 1378.11
NVMeSSD 18 64MB 532.19 1539.26
NVMeSSD 20 64MB 523.18 1410.43
NVMeSSD 2 64MB 456.42 834.7
NVMeSSD 4 64MB 813.63 1510.93
NVMeSSD 6 64MB 722.21 1207.47
NVMeSSD 8 64MB 642.74 1253.58
PM 10 64MB 1770.86 3238.72
PM 12 64MB 1796.16 3216.33
PM 14 64MB 1817.69 3359.51
PM 16 64MB 1801.49 3323.27
PM 18 64MB 1757.01 3310.81
PM 20 64MB 1713.41 3245.47
PM 2 64MB 565.87 920.27
PM 4 64MB 1334.54 2598.67
PM 6 64MB 1723.89 2774.43
PM 8 64MB 1733.78 3055.85
SATAHDD 10 64MB 126.55 191.48
SATAHDD 12 64MB 111.54 199.45
SATAHDD 14 64MB 101.92 164.89
SATAHDD 16 64MB 128.29 202.45
SATAHDD 18 64MB 100.15 173.01
SATAHDD 20 64MB 124.75 199.18
SATAHDD 2 64MB 117.24 177.81
SATAHDD 4 64MB 115.46 201.2
SATAHDD 6 64MB 138.35 207.54
SATAHDD 8 64MB 111.34 203.59
SATASSD 10 64MB 254.77 515.41
SATASSD 12 64MB 241.66 515.12
SATASSD 14 64MB 231.85 515.98
SATASSD 16 64MB 231.37 515.37
SATASSD 18 64MB 226.06 515.34
SATASSD 20 64MB 218.8 515.78
SATASSD 2 64MB 262.99 406.47
SATASSD 4 64MB 335.48 512.0
SATASSD 6 64MB 294.52 511.88
SATASSD 8 64MB 268.41 511.0
