device "# of Threads" "Normalized CPU Utilization"
NVMeSSD 10 16.06
NVMeSSD 12 12.86
NVMeSSD 14 10.75
NVMeSSD 16 9.21
NVMeSSD 18 8.29
NVMeSSD 20 7.48
NVMeSSD 2 57.05
NVMeSSD 4 53.11
NVMeSSD 6 32.11
NVMeSSD 8 21.38
PM 10 65.33
PM 12 56.86
PM 14 52.48
PM 16 47.73
PM 18 46.43
PM 20 42.5
PM 2 70.36
PM 4 94.56
PM 6 93.92
PM 8 74.97
SATAHDD 10 3.84
SATAHDD 12 2.78
SATAHDD 14 2.3
SATAHDD 16 2.41
SATAHDD 18 1.75
SATAHDD 20 1.92
SATAHDD 2 21.66
SATAHDD 4 9.59
SATAHDD 6 7.06
SATAHDD 8 4.42
SATASSD 10 7.5
SATASSD 12 5.93
SATASSD 14 4.96
SATASSD 16 4.34
SATASSD 18 3.85
SATASSD 20 3.38
SATASSD 2 35.49
SATASSD 4 23.93
SATASSD 6 14.41
SATASSD 8 9.95
