group	device	workload	op	p99 avg	p99.99 avg	qps avg	p99 std	p99.99 std	qps std
FEAT	NVMe SSD	a	read	33.08	3573.69	143490.0			
FEAT	NVMe SSD	a	update	10.63	45.44	143490.0			
FEAT	NVMe SSD	b	read	12.61	31.74	190520.0			
FEAT	NVMe SSD	b	update	9.89	31.97	190520.0			
FEAT	NVMe SSD	c	read	11.67	31.96	150471.0			
FEAT	NVMe SSD	d	insert	9.79	30.68	238767.0			
FEAT	NVMe SSD	d	read	10.0	30.07	238767.0			
FEAT	NVMe SSD	e	insert	18.13	12028.55	19071.0			
FEAT	NVMe SSD	e	seek	108.51	168.71	19071.0			
FEAT	NVMe SSD	f	read	22.39	1163.05	107966.0			
FEAT	NVMe SSD	f	update	31.85	1203.68	107966.0			
FEAT	PM	a	read	18.72	33.86	177193.0			
FEAT	PM	a	update	9.71	31.45	177193.0			
FEAT	PM	b	read	12.71	31.81	192108.0			
FEAT	PM	b	update	9.85	30.51	192108.0			
FEAT	PM	c	read	10.3	31.62	168392.0			
FEAT	PM	d	insert	9.82	29.85	230696.0			
FEAT	PM	d	read	10.92	30.43	230696.0			
FEAT	PM	e	insert	17.36	38.58	19149.0			
FEAT	PM	e	seek	108.48	167.75	19149.0			
FEAT	PM	f	read	14.97	33.49	125525.0			
FEAT	PM	f	update	21.33	43.91	125525.0			
FEAT	SATA HDD	a	read	73.64	85873.25	14760.0			
FEAT	SATA HDD	a	update	61.44	1293.57	14760.0			
FEAT	SATA HDD	b	read	13.89	33.06	185940.0			
FEAT	SATA HDD	b	update	9.88	32.78	185940.0			
FEAT	SATA HDD	c	read	12.92	32.45	150343.0			
FEAT	SATA HDD	d	insert	9.85	31.88	223245.0			
FEAT	SATA HDD	d	read	12.68	31.73	223245.0			
FEAT	SATA HDD	e	insert	20.26	1512.27	18611.0			
FEAT	SATA HDD	e	seek	109.81	240.46	18611.0			
FEAT	SATA HDD	f	read	64.43	91388.74	9255.0			
FEAT	SATA HDD	f	update	165.84	98650.93	9255.0			
FEAT	SATA SSD	a	read	30.86	13713.83	92512.0			
FEAT	SATA SSD	a	update	17.68	80.2	92512.0			
FEAT	SATA SSD	b	read	13.25	32.41	185863.0			
FEAT	SATA SSD	b	update	9.9	32.39	185863.0			
FEAT	SATA SSD	c	read	9.98	31.63	166376.0			
FEAT	SATA SSD	d	insert	9.81	31.24	232434.0			
FEAT	SATA SSD	d	read	10.8	30.84	232434.0			
FEAT	SATA SSD	e	insert	19.7	1896.28	18864.0			
FEAT	SATA SSD	e	seek	108.81	169.17	18864.0			
FEAT	SATA SSD	f	read	29.73	8873.62	78982.0			
FEAT	SATA SSD	f	update	44.27	8900.21	78982.0			
SILK	NVMe SSD	a	read	14.48	91.06	178154.0			
SILK	NVMe SSD	a	update	11.21	49.96	178154.0			
SILK	NVMe SSD	b	read	11.13	89.05	219664.0			
SILK	NVMe SSD	b	update	12.61	42.4	219664.0			
SILK	NVMe SSD	c	read	11.54	24.74	159547.0			
SILK	NVMe SSD	d	insert	11.87	31.3	227652.0			
SILK	NVMe SSD	d	read	10.61	66.6	227652.0			
