group	device	workload	qps	L0	L1	L2	L3	L4	L5
default	NVMe SSD	A	97909	0.61	0.94	9.62	57.98	0.0	0
default	PM	A	148671	0.28	0.41	4.52	40.72	43.52	0
default	SATA HDD	A	30588	0.44	1.32	9.48	57.35	0.0	0
default	SATA SSD	A	64744	0.32	1.3	9.37	57.95	0.0	0
default	NVMe SSD	B	189150	0.04	0.21	2.53	25.0	40.34	0
default	PM	B	191020	0.12	0.21	2.47	24.94	40.46	0
default	SATA HDD	B	174158	0.04	0.33	2.51	24.96	39.45	0
default	SATA SSD	B	187086	0.0	0.32	2.5	24.96	40.29	0
default	NVMe SSD	C	164829	0.0	0.19	2.46	24.96	30.34	0
default	PM	C	163969	0.0	0.23	2.45	24.95	30.32	0
default	SATA HDD	C	164993	0.0	0.21	2.47	25.0	30.27	0
default	SATA SSD	C	161980	0.0	0.19	2.49	24.97	30.29	0
default	NVMe SSD	D	231935	0.07	0.23	2.45	24.95	36.92	0
default	PM	D	227864	0.03	0.23	2.47	24.98	36.65	0
default	SATA HDD	D	210626	0.03	0.33	2.47	24.99	36.64	0
default	SATA SSD	D	222275	0.07	0.24	2.48	24.98	36.88	0
default	NVMe SSD	E	19213	0.08	0.25	2.44	24.99	31.87	0
default	PM	E	19512	0.04	0.25	2.45	25.0	31.92	0
default	SATA HDD	E	19180	0.08	0.21	2.45	24.97	31.9	0
default	SATA SSD	E	19015	0.12	0.25	2.48	24.97	31.83	0
default	NVMe SSD	F	87167	0.2	0.98	7.64	57.98	0.0	0
default	PM	F	117788	0.04	0.37	2.47	24.96	57.17	0
default	SATA HDD	F	31026	0.84	0.96	9.39	57.3	0.0	0
default	SATA SSD	F	61441	0.81	0.96	9.33	57.94	0.0	0
SILK	NVMe SSD	A	178154	0.49	2.52	20.52	46.97	0.0	0
SILK	PM	A	186957	0.98	1.96	20.19	46.64	0.0	0
SILK	SATA HDD	A	23718	0.0	1.81	19.56	41.18	0.0	0
