group	device	workload	op	p99	p99.99	average
SILK	NVMe SSD	A	update	11.21	49.96	5.7795
SILK	NVMe SSD	A	read	14.48	91.06	5.4467
SILK	PM	A	update	10.52	44.3	5.5924
SILK	PM	A	read	13.95	33.72	5.1053
SILK	SATA HDD	A	update	30.9	98.24	20.7836
SILK	SATA HDD	A	read	32.76	87852.74	63.5369
SILK	SATA SSD	A	update	16.97	76.55	6.569
SILK	SATA SSD	A	read	22.78	8994.58	11.0625
SILK	NVMe SSD	B	update	12.61	42.4	6.4234
SILK	NVMe SSD	B	read	11.13	89.05	4.4539
SILK	PM	B	update	11.96	27.68	6.2053
SILK	PM	B	read	10.68	24.73	4.3407
SILK	SATA HDD	B	update	82.94	637.1	39.6879
SILK	SATA HDD	B	read	7869.86	138724.2	198.3507
SILK	SATA SSD	B	update	12.94	62.15	6.4693
SILK	SATA SSD	B	read	11.72	184.17	4.6937
SILK	NVMe SSD	C	read	11.54	24.74	6.2677
SILK	PM	C	read	9.12	24.33	5.9098
SILK	SATA HDD	C	read	63.35	17678.52	78.3069
SILK	SATA SSD	C	read	11.51	210.9	6.4658
SILK	NVMe SSD	D	insert	11.87	31.3	6.2132
SILK	NVMe SSD	D	read	10.61	66.6	4.2968
SILK	PM	D	insert	11.92	27.88	6.1921
SILK	PM	D	read	10.73	24.83	4.2999
SILK	SATA HDD	D	insert	56.42	202.12	18.6842
SILK	SATA HDD	D	read	33.85	29922.19	41.5057
SILK	SATA SSD	D	insert	14.14	1183.69	7.7388
SILK	SATA SSD	D	read	12.23	213.22	4.8512
SILK	NVMe SSD	E	insert	19.9	10325.6	13.1147
SILK	NVMe SSD	E	seek	98.65	4412.03	51.5865
SILK	PM	E	insert	19.45	38.63	11.3837
SILK	PM	E	seek	97.52	124.57	50.3414
SILK	SATA HDD	E	insert	39.88	216.97	16.5781
SILK	SATA HDD	E	seek	185.64	21289.32	92.5713
SILK	SATA SSD	E	insert	19.24	917.72	11.3172
SILK	SATA SSD	E	seek	95.09	1808.45	51.7506
SILK	NVMe SSD	F	read	13.25	84.43	5.0387
SILK	NVMe SSD	F	update	19.99	99.61	9.2469
SILK	PM	F	read	13.27	29.8	5.0468
SILK	PM	F	update	19.87	44.98	9.2065
SILK	SATA HDD	F	read	78.48	143304.59	161.5595
SILK	SATA HDD	F	update	1366.16	155243.29	208.7455
SILK	SATA SSD	F	read	15.88	2803.24	6.3317
SILK	SATA SSD	F	update	25.01	3055.65	10.9953
pebbles	NVMe SSD	A	update	71.88	140.29	13.1644
pebbles	NVMe SSD	A	read	248.61	9722.69	35.4187
pebbles	PM	A	update	72.15	116.54	13.3065
pebbles	PM	A	read	242.25	560.42	30.5932
pebbles	SATA HDD	A	update	123.87	247.15	25.7773
pebbles	SATA HDD	A	read	569.61	237307.13	232.7221
pebbles	SATA SSD	A	update	79.61	167.59	15.1729
pebbles	SATA SSD	A	read	318.67	30496.17	47.0725
pebbles	NVMe SSD	B	update	34.35	94.39	12.8959
pebbles	NVMe SSD	B	read	182.66	694.03	21.5044
pebbles	PM	B	update	33.13	74.02	12.8614
pebbles	PM	B	read	191.98	378.76	21.7249
pebbles	SATA HDD	B	update	92.82	286.94	19.1473
pebbles	SATA HDD	B	read	375.18	148817.51	169.417
pebbles	SATA SSD	B	update	62.26	109.58	13.0886
pebbles	SATA SSD	B	read	194.91	2821.46	21.3582
pebbles	NVMe SSD	C	read	152.03	525.0	22.7119
pebbles	PM	C	read	152.77	370.5	22.1264
pebbles	SATA HDD	C	read	10159.14	318382.47	361.0097
pebbles	SATA SSD	C	read	192.37	5885.5	25.3894
pebbles	NVMe SSD	D	insert	32.72	75.61	11.0478
pebbles	NVMe SSD	D	read	123.35	507.39	13.8541
pebbles	PM	D	insert	44.37	83.41	11.6266
pebbles	PM	D	read	141.59	378.29	13.8516
pebbles	SATA HDD	D	insert	156.53	406.34	44.6151
pebbles	SATA HDD	D	read	7496.41	307015.15	384.0585
pebbles	SATA SSD	D	insert	36.6	106.62	11.3901
pebbles	SATA SSD	D	read	146.87	845.35	15.0413
pebbles	NVMe SSD	E	insert	70.49	10823.81	29.7044
pebbles	NVMe SSD	E	seek	5118.92	32572.5	498.4108
pebbles	PM	E	insert	60.56	105.6	22.3403
pebbles	PM	E	seek	5609.68	9841.28	434.4335
pebbles	SATA HDD	E	insert	240.49	3680.95	82.0492
pebbles	SATA HDD	E	seek	58369.83	552413.31	4266.5548
pebbles	SATA SSD	E	insert	109.26	250.54	30.1124
pebbles	SATA SSD	E	seek	5386.05	105072.48	593.6359
pebbles	NVMe SSD	F	read	241.06	5807.97	32.0088
pebbles	NVMe SSD	F	update	248.12	6215.54	39.4779
pebbles	PM	F	read	235.28	549.27	28.3508
pebbles	PM	F	update	243.58	560.52	36.552
pebbles	SATA HDD	F	read	452.44	227866.39	191.4595
pebbles	SATA HDD	F	update	478.93	229913.11	206.3723
pebbles	SATA SSD	F	read	294.11	22412.59	39.9346
pebbles	SATA SSD	F	update	315.03	22409.2	49.485
tuned	NVMe SSD	A	update	9.89	32.4	5.0525
tuned	NVMe SSD	A	read	18.14	44.58	6.7942
tuned	PM	A	update	9.81	32.41	4.7489
tuned	PM	A	read	14.94	33.71	6.3185
tuned	SATA HDD	A	update	56.1	1281.23	22.3767
tuned	SATA HDD	A	read	3448.15	156985.74	155.1719
tuned	SATA SSD	A	update	19.75	1069.92	7.0184
tuned	SATA SSD	A	read	37.42	14359.54	17.1611
tuned	NVMe SSD	B	update	9.99	33.47	5.514
tuned	NVMe SSD	B	read	12.4	32.21	5.1601
tuned	PM	B	update	10.1	31.65	5.3814
tuned	PM	B	read	12.3	31.74	5.2069
tuned	SATA HDD	B	update	70.07	109.99	16.5754
tuned	SATA HDD	B	read	33.98	20805.99	43.2229
tuned	SATA SSD	B	update	12.43	61.43	5.8856
tuned	SATA SSD	B	read	13.82	202.77	5.724
tuned	NVMe SSD	C	read	12.05	32.53	6.5353
tuned	PM	C	read	10.0	31.56	6.4153
tuned	SATA HDD	C	read	55.45	21235.64	71.5519
tuned	SATA SSD	C	read	14.43	221.47	7.6674
tuned	NVMe SSD	D	insert	9.92	32.76	5.2995
tuned	NVMe SSD	D	read	10.0	30.78	4.1689
tuned	PM	D	insert	9.92	31.33	5.0737
tuned	PM	D	read	9.99	30.49	4.1969
tuned	SATA HDD	D	insert	31.55	105.57	10.6951
tuned	SATA HDD	D	read	21.92	12327.53	15.9599
tuned	SATA SSD	D	insert	12.4	55.69	5.6268
tuned	SATA SSD	D	read	12.34	232.15	4.5624
tuned	NVMe SSD	E	insert	18.8	11765.13	12.539
tuned	NVMe SSD	E	seek	107.99	250.66	52.5588
tuned	PM	E	insert	19.6	39.49	10.4454
tuned	PM	E	seek	108.16	166.56	53.3331
tuned	SATA HDD	E	insert	19.78	401.35	16.8191
tuned	SATA HDD	E	seek	108.5	167.38	54.9199
tuned	SATA SSD	E	insert	20.74	2111.16	12.1181
tuned	SATA SSD	E	seek	108.96	862.76	56.7414
tuned	NVMe SSD	F	read	14.79	33.86	6.2258
tuned	NVMe SSD	F	update	21.44	50.83	10.0968
tuned	PM	F	read	14.62	33.4	6.0892
tuned	PM	F	update	21.18	44.27	9.9357
tuned	SATA HDD	F	read	25947.25	434873.27	1061.1889
tuned	SATA HDD	F	update	26080.96	482144.3	1098.6948
tuned	SATA SSD	F	read	29.57	9004.03	11.4485
tuned	SATA SSD	F	update	44.2	9089.96	16.0148
FEAT	NVMe SSD	A	update	10.63	45.44	4.9298
FEAT	NVMe SSD	A	read	33.08	3573.69	9.0086
FEAT	PM	A	update	9.71	31.45	4.7424
FEAT	PM	A	read	18.72	33.86	6.5447
FEAT	SATA HDD	A	update	61.44	1293.57	29.511
FEAT	SATA HDD	A	read	73.64	85873.25	105.9947
FEAT	SATA SSD	A	update	17.68	80.2	6.2612
FEAT	SATA SSD	A	read	30.86	13713.83	15.3572
FEAT	NVMe SSD	B	update	9.89	31.97	5.4432
FEAT	NVMe SSD	B	read	12.61	31.74	5.2385
FEAT	PM	B	update	9.85	30.51	5.1149
FEAT	PM	B	read	12.71	31.81	5.2102
FEAT	SATA HDD	B	update	9.88	32.78	5.5419
FEAT	SATA HDD	B	read	13.89	33.06	5.3694
FEAT	SATA SSD	B	update	9.9	32.39	5.407
FEAT	SATA SSD	B	read	13.25	32.41	5.3789
FEAT	NVMe SSD	C	read	11.67	31.96	6.6458
FEAT	PM	C	read	10.3	31.62	5.9385
FEAT	SATA HDD	C	read	12.92	32.45	6.6514
FEAT	SATA SSD	C	read	9.98	31.63	6.0105
FEAT	NVMe SSD	D	insert	9.79	30.68	5.0464
FEAT	NVMe SSD	D	read	10.0	30.07	4.143
FEAT	PM	D	insert	9.82	29.85	4.9663
FEAT	PM	D	read	10.92	30.43	4.3015
FEAT	SATA HDD	D	insert	9.85	31.88	6.598
FEAT	SATA HDD	D	read	12.68	31.73	4.3679
FEAT	SATA SSD	D	insert	9.81	31.24	5.0186
FEAT	SATA SSD	D	read	10.8	30.84	4.2646
FEAT	NVMe SSD	E	insert	18.13	12028.55	12.9859
FEAT	NVMe SSD	E	seek	108.51	168.71	54.5111
FEAT	PM	E	insert	17.36	38.58	10.2024
FEAT	PM	E	seek	108.48	167.75	54.4317
FEAT	SATA HDD	E	insert	20.26	1512.27	20.6915
FEAT	SATA HDD	E	seek	109.81	240.46	55.4706
FEAT	SATA SSD	E	insert	19.7	1896.28	11.3174
FEAT	SATA SSD	E	seek	108.81	169.17	55.2032
FEAT	NVMe SSD	F	read	22.39	1163.05	7.469
FEAT	NVMe SSD	F	update	31.85	1203.68	11.0552
FEAT	PM	F	read	14.97	33.49	6.2376
FEAT	PM	F	update	21.33	43.91	9.6955
FEAT	SATA HDD	F	read	64.43	91388.74	92.1245
FEAT	SATA HDD	F	update	165.84	98650.93	123.9671
FEAT	SATA SSD	F	read	29.73	8873.62	10.541
FEAT	SATA SSD	F	update	44.27	8900.21	14.781
