device	workload	op	FEAT	SILK	pebbles	tuned
NVMe SSD	A	update	1.0	1.1723599334658605	2.6703720232058097	1.0248894478477828
NVMe SSD	A	read	1.0	0.6046111493461803	3.9316541971005488	0.7541904402459872
PM	A	update	1.0	1.1792341430499325	2.805857793522267	1.0013706140350878
PM	A	read	1.0	0.7800663131999939	4.674499977080691	0.9654376823994989
SATA HDD	A	update	1.0	0.7042662058215581	0.8734810748534445	0.7582494663007014
SATA HDD	A	read	1.0	0.5994346887155679	2.1956012894984376	1.4639590470089543
SATA SSD	A	update	1.0	1.0491599054494347	2.423321408036798	1.1209352839711237
SATA SSD	A	read	1.0	0.7203461568515094	3.0651746412106373	1.117462818743
NVMe SSD	B	update	1.0	1.1800778953556732	2.3691762198706643	1.0130070546737213
NVMe SSD	B	read	1.0	0.8502243008494798	4.105068244726544	0.985033883745347
PM	B	update	1.0	1.2131810983596945	2.514496862108741	1.0521026804043092
PM	B	read	1.0	0.8331158112932324	4.1696863843998315	0.9993666270008829
SATA HDD	B	update	1.0	7.1614247821144374	3.4550064057453223	2.9909236904310794
SATA HDD	B	read	1.0	36.94094312213655	31.552314970015274	8.049856594777816
SATA SSD	B	update	1.0	1.1964675420750879	2.4206769003144073	1.0885148881080082
SATA SSD	B	read	1.0	0.8726133596088419	3.9707375113870866	1.0641580992396216
NVMe SSD	C	read	1.0	0.9431069246742302	3.417481717776641	0.983372957356526
PM	C	read	1.0	0.9951671297465688	3.7259240548960175	1.0802896354298224
SATA HDD	C	read	1.0	11.772995158913913	54.27574645939201	10.757419490633552
SATA SSD	C	read	1.0	1.0757507694867314	4.224174361533982	1.275667581731969
NVMe SSD	D	insert	1.0	1.2312143310082433	2.1892438173747624	1.0501545656309448
NVMe SSD	D	read	1.0	1.0371228578324887	3.3439777938691773	1.00625150856867
PM	D	insert	1.0	1.2468235910033625	2.341099007309264	1.0216257576062662
PM	D	read	1.0	0.9996280367313728	3.220179007323027	0.9756829013134954
SATA HDD	D	insert	1.0	2.8317975143983025	6.76191270081843	1.6209608972415883
SATA HDD	D	read	1.0	9.50243824263376	87.92749376130406	3.653906911788274
SATA SSD	D	insert	1.0	1.5420236719403817	2.2695771729167498	1.121189176264297
SATA SSD	D	read	1.0	1.1375510012662384	3.5270130844627867	1.069830699244947
NVMe SSD	E	insert	1.0	1.0099184500111658	2.287434833165202	0.9655857506988348
NVMe SSD	E	seek	1.0	0.9463485418566128	9.14329008220344	0.9641852760263506
PM	E	insert	1.0	1.1157864816121694	2.1897102642515485	1.0238179251940718
PM	E	seek	1.0	0.9248544506234418	7.981259082483185	0.9798169081619719
SATA HDD	E	insert	1.0	0.8012033926974844	3.965357755600125	0.8128506874803663
SATA HDD	E	seek	1.0	1.6688353830677871	76.91560574430419	0.990072218436433
SATA SSD	E	insert	1.0	0.9999823280965593	2.6607171258416247	1.070749465424921
SATA SSD	E	seek	1.0	0.9374565242594631	10.7536501507159	1.0278643267056982
NVMe SSD	F	read	1.0	0.6746150756460035	4.285553621636096	0.8335520149953138
NVMe SSD	F	update	1.0	0.8364299153339606	3.5709801722266445	0.9133077646718287
PM	F	read	1.0	0.8090932409901245	4.5451455688085165	0.9762087982557395
PM	F	update	1.0	0.9495642308287351	3.7699963900778717	1.0247743798669486
SATA HDD	F	read	1.0	1.7537082969242712	2.0782690815146894	11.519073644904452
SATA HDD	F	update	1.0	1.6838782225283966	1.6647344335714878	8.862793434709692
SATA SSD	F	read	1.0	0.6006735603832652	3.788502039654682	1.0860924011004647
SATA SSD	F	update	1.0	0.7438806576009742	3.347879033894865	1.083472024896827
