group	device	workload	qps
default	NVMe SSD	A	97909
default	PM	A	148671
default	SATA HDD	A	30588
default	SATA SSD	A	64744
default	NVMe SSD	B	189150
default	PM	B	191020
default	SATA HDD	B	174158
default	SATA SSD	B	187086
default	NVMe SSD	C	164829
default	PM	C	163969
default	SATA HDD	C	164993
default	SATA SSD	C	161980
default	NVMe SSD	D	231935
default	PM	D	227864
default	SATA HDD	D	210626
default	SATA SSD	D	222275
default	NVMe SSD	E	19213
default	PM	E	19512
default	SATA HDD	E	19180
default	SATA SSD	E	19015
default	NVMe SSD	F	87167
default	PM	F	117788
default	SATA HDD	F	31026
default	SATA SSD	F	61441
SILK	NVMe SSD	A	178154
SILK	PM	A	186957
SILK	SATA HDD	A	23718
SILK	SATA SSD	A	113431
SILK	NVMe SSD	B	219664
SILK	PM	B	225535
SILK	SATA HDD	B	5251
SILK	SATA SSD	B	209094
SILK	NVMe SSD	C	159547
SILK	PM	C	169209
SILK	SATA HDD	C	12770
SILK	SATA SSD	C	154659
SILK	NVMe SSD	D	227652
SILK	PM	D	227557
SILK	SATA HDD	D	24774
SILK	SATA SSD	D	200177
SILK	NVMe SSD	E	20135
SILK	PM	E	20664
SILK	SATA HDD	E	11265
SILK	SATA SSD	E	20109
SILK	NVMe SSD	F	140000
SILK	PM	F	140318
SILK	SATA HDD	F	5401
SILK	SATA SSD	F	115427
pebbles	NVMe SSD	A	41165
pebbles	PM	A	45560
pebbles	SATA HDD	A	7736
pebbles	SATA SSD	A	32129
pebbles	NVMe SSD	B	47451
pebbles	PM	B	46988
pebbles	SATA HDD	B	6176
pebbles	SATA SSD	B	47744
pebbles	NVMe SSD	C	44029
pebbles	PM	C	45194
pebbles	SATA HDD	C	2770
pebbles	SATA SSD	C	39386
pebbles	NVMe SSD	D	72919
pebbles	PM	D	72778
pebbles	SATA HDD	D	2724
pebbles	SATA SSD	D	67300
pebbles	NVMe SSD	E	2105
pebbles	PM	E	2416
pebbles	SATA HDD	E	246
pebbles	SATA SSD	E	1768
pebbles	NVMe SSD	F	27977
pebbles	PM	F	30815
pebbles	SATA HDD	F	5027
pebbles	SATA SSD	F	22366
tuned	NVMe SSD	A	168822
tuned	PM	A	180709
tuned	SATA HDD	A	11266
tuned	SATA SSD	A	82711
tuned	NVMe SSD	B	193131
tuned	PM	B	191730
tuned	SATA HDD	B	23871
tuned	SATA SSD	B	174456
tuned	NVMe SSD	C	153015
tuned	PM	C	155877
tuned	SATA HDD	C	13975
tuned	SATA SSD	C	130421
tuned	NVMe SSD	D	236662
tuned	PM	D	235808
tuned	SATA HDD	D	63707
tuned	SATA SSD	D	216654
tuned	NVMe SSD	E	19779
tuned	PM	E	19535
tuned	SATA HDD	E	18862
tuned	SATA SSD	E	18345
tuned	NVMe SSD	F	122528
tuned	PM	F	124805
tuned	SATA HDD	F	925
tuned	SATA SSD	F	72823
FEAT	NVMe SSD	A	143490
FEAT	PM	A	177193
FEAT	SATA HDD	A	14760
FEAT	SATA SSD	A	92512
FEAT	NVMe SSD	B	190520
FEAT	PM	B	192108
FEAT	SATA HDD	B	185940
FEAT	SATA SSD	B	185863
FEAT	NVMe SSD	C	150471
FEAT	PM	C	168392
FEAT	SATA HDD	C	150343
FEAT	SATA SSD	C	166376
FEAT	NVMe SSD	D	238767
FEAT	PM	D	230696
FEAT	SATA HDD	D	223245
FEAT	SATA SSD	D	232434
FEAT	NVMe SSD	E	19071
FEAT	PM	E	19149
FEAT	SATA HDD	E	18611
FEAT	SATA SSD	E	18864
FEAT	NVMe SSD	F	107966
FEAT	PM	F	125525
FEAT	SATA HDD	F	9255
FEAT	SATA SSD	F	78982
