device	workload	FEAT	SILK	default	pebbles	tuned
NVMe SSD	A	143490	178154	97909	41165	168822
PM	A	177193	186957	148671	45560	180709
SATA HDD	A	14760	23718	30588	7736	11266
SATA SSD	A	92512	113431	64744	32129	82711
NVMe SSD	B	190520	219664	189150	47451	193131
PM	B	192108	225535	191020	46988	191730
SATA HDD	B	185940	5251	174158	6176	23871
SATA SSD	B	185863	209094	187086	47744	174456
NVMe SSD	C	150471	159547	164829	44029	153015
PM	C	168392	169209	163969	45194	155877
SATA HDD	C	150343	12770	164993	2770	13975
SATA SSD	C	166376	154659	161980	39386	130421
NVMe SSD	D	238767	227652	231935	72919	236662
PM	D	230696	227557	227864	72778	235808
SATA HDD	D	223245	24774	210626	2724	63707
SATA SSD	D	232434	200177	222275	67300	216654
NVMe SSD	E	19071	20135	19213	2105	19779
PM	E	19149	20664	19512	2416	19535
SATA HDD	E	18611	11265	19180	246	18862
SATA SSD	E	18864	20109	19015	1768	18345
NVMe SSD	F	107966	140000	87167	27977	122528
PM	F	125525	140318	117788	30815	124805
SATA HDD	F	9255	5401	31026	5027	925
SATA SSD	F	78982	115427	61441	22366	72823
